kind,clip_id,detected_lag_sec,proposed_offset_sec,speaker,gt_says_spoken_at_sec,qc_says_spoken_at_sec,transcript,listen_gt_claim,listen_qc_claim,diagnostic,which_is_right,heard_at_sec,checked_by,note
flagged,VKY0uuZ6Om8__575_935,5.0,5.0,Speaker_C,63.51,58.51,"त्यामुळे मी स सुधीर(Sudhir)-ला सांगितलं की, ठीक आहे, मग तू दुसरं कोणाला तरी दे. मी आधी हे नाटक करतो मा अ मा अधांतर(Adhantar). तर सुधीर(Sudhir)-ला आश्चर्य वाटलं.",https://youtu.be/VKY0uuZ6Om8?t=638,https://youtu.be/VKY0uuZ6Om8?t=633,results/gt_alignment_qc/diagnostics/VKY0uuZ6Om8__575_935.svg,,,,
flagged,7YfsQPYY-W0__351_411,4.52,4.5,Speaker_A,21.69,17.19,ଡାଟା(Data) ଟ୍ରାନ୍ସଫର୍(Transfer) ଆପଣ କିଛି ଟେନସନ୍(Tension) ନିଅନ୍ତୁ ନାହିଁ ଆପଣ ଓଲ୍ଡ(Old) ଫୋନ୍‌ରୁ(Phone)-ରୁ ନ୍ୟୁ(New) ଫୋନ୍‌କୁ(Phone)-କୁ ଡାଟା(Data) ଟ୍ରାନ୍ସଫର୍(Transfe,https://youtu.be/7YfsQPYY-W0?t=372,https://youtu.be/7YfsQPYY-W0?t=368,results/gt_alignment_qc/diagnostics/7YfsQPYY-W0__351_411.svg,,,,
flagged,7k-xDqNjESc__73_981,4.01,4.0,Speaker_C,177.95,173.95,ആവശ്യമില്ലാത്ത ഡയലോഗ്സ് (dialogues) ഇല്ല കറക്റ്റ് (correct) ബാലൻസ്ഡ് (balanced) ആണ് പ്രൊപ്പോഷണലി (propotionally) നമ്മൾ ബാക്കി(back)ലോട്ട് ഞങ്ങളെ കൊണ്ടുപോകുമ്പോഴ,https://youtu.be/7k-xDqNjESc?t=250,https://youtu.be/7k-xDqNjESc?t=246,results/gt_alignment_qc/diagnostics/7k-xDqNjESc__73_981.svg,,,,
flagged,ARCKJrGkITw__14_496,3.91,4.0,Speaker_B,190.23,186.23,మనకంటే మంచిగానే తీసుకెళ్తాం మేము మంచిగానే చూసుకుంటాం మనకు ఎలాంటి ఇబ్బంది అయితే అయితే లేదు. వేరే రాష్ట్రాలకి కెళ్లి తెస్తే అట్లా ఇబ్బంది కానీ మేము పోలేదు తెచ్చుక,https://youtu.be/ARCKJrGkITw?t=204,https://youtu.be/ARCKJrGkITw?t=200,results/gt_alignment_qc/diagnostics/ARCKJrGkITw__14_496.svg,,,,
flagged,87Zbup3ohcw__106_445,3.63,3.5,Speaker_D,145.01,141.51,பெண்களுக்கு கல்வி அறிவு வேணும் பெண்களுக்கு முன்னேற்றம் வேணும் அப்படின்னு நம்ம நினைக்கிறது ஒரு பக்கம் அதே நேரத்துல ஆண்களினுடைய ஆதிக்கம் அப்படிங்கிறது ஒரு பக்கம் ,https://youtu.be/87Zbup3ohcw?t=251,https://youtu.be/87Zbup3ohcw?t=247,results/gt_alignment_qc/diagnostics/87Zbup3ohcw__106_445.svg,,,,
flagged,OXUt5KnlUMo__91_181,3.0,3.0,Speaker_B,64.35,61.35,ଆମର ଇନହାଉସ୍(inhouse) ଅପ୍ଟୋମେଟ୍ରିଷ୍ଟ(optometrist) ଅଛି ସବୁବେଳ ପାଇଁ ଅପ୍ଟୋମେଟ୍ରିଷ୍ଟ(optometrist) ଅଛି ସେ ଆପଣଙ୍କୁ ଗାଇଡ୍(guide) କରିପାରିବେ କି ଆପଣଙ୍କର ଆଇଜ୍(eyes) ଠିକ୍ ଅଛ,https://youtu.be/OXUt5KnlUMo?t=155,https://youtu.be/OXUt5KnlUMo?t=152,results/gt_alignment_qc/diagnostics/OXUt5KnlUMo__91_181.svg,,,,
flagged,0p6cktLGIfY__12_930,2.91,3.0,Speaker_A,720.05,717.05,એક(1) વસ્તુ હું કહેવા માંગીશ થોડી વાર પહેલાં મેં જ્યારે કીધેલું કે બ્રોડવે(Broadway) જોવા માટે મેં પચ્ચીસ-હજાર-રૂપિયા(₹25000)-ની ટિકિટ(ticket) વાપરેલી ત્યારે એક,https://youtu.be/0p6cktLGIfY?t=732,https://youtu.be/0p6cktLGIfY?t=729,results/gt_alignment_qc/diagnostics/0p6cktLGIfY__12_930.svg,,,,
flagged,VY_4x1scS-Y__13_121,2.38,2.5,Speaker_B,48.99,46.49,ஒரு இது எப்படி இருக்கும் ஃபுல் (full) கமர்ஷியலா (commercial)-லா பண்ணா நல்லா இருக்கும்னு நினைக்கிறியா இல்ல இந்த மாதிரி லவ் (love) மூவீஸ்ல (movies)-ல ரெமோலாம் (re,https://youtu.be/VY_4x1scS-Y?t=61,https://youtu.be/VY_4x1scS-Y?t=59,results/gt_alignment_qc/diagnostics/VY_4x1scS-Y__13_121.svg,,,,
flagged,6f6TLzlP8Wk__82_144,2.07,2.0,Speaker_B,42.53,40.53,ਵੀਰ ਜੀ ਬਹੁਤ ਦੁੱਧ ਦੇ ਕਿੱਤੇ ਦੇ ਵਿੱਚੋਂ ਵੀ ਹੋ ਰਿਹਾ ਜੀ ਅਤੇ ਦੁੱਧ ਦੇ ਨਾਲੋਂ ਜਾਨਵਰ ਸਾਂਭਣ ਦੇ ਅਤੇ ਸੇਲ(Sale) ਕਰਨ ਦੇ ਵਿੱਚ ਵੀ ਜ਼ਿਆਦਾ।,https://youtu.be/6f6TLzlP8Wk?t=124,https://youtu.be/6f6TLzlP8Wk?t=122,results/gt_alignment_qc/diagnostics/6f6TLzlP8Wk__82_144.svg,,,,
flagged,0SoItGfM_sY__7_88,1.93,2.0,Speaker_E,56.38,54.38,"ಸೋ(so) ಜ್ಞಾನ ಮತ್ತೆ ಅವಕಾಶ ಯಾಕೆ ಎಲ್ಲರಿಗೂ ಸಿಗಲ್ಲ? ನಮಗೆ ಇವತ್ತು ಜ್ಞಾನ ಪೂರ್ತಿ ಸೆಕೆಂಡ್(second) ಹ್ಯಾಂಡ್(hand). ಯಾರೋ ಏನೋ ಮಾಡ್ತಾರೆ ಅದನ್ನ ನೋಡಿ ಇನ್ನೊಬ್ಬ ಬುಕ್(book) ಬರೀತಾನೆ,",https://youtu.be/0SoItGfM_sY?t=63,https://youtu.be/0SoItGfM_sY?t=61,results/gt_alignment_qc/diagnostics/0SoItGfM_sY__7_88.svg,,,,
