rank,kind,clip_id,proposed_shift_sec,jer_raw,jer_if_shifted,jer_gain,der_raw,der_if_shifted,der_gain,headroom_recovered,model_spread_sec,vad_agrees,gt_says_at_sec,shift_says_at_sec,transcript,listen_gt,listen_shifted,diagnostic,verdict,confirmed_shift_sec,checked_by,note
1,flagged,2iMXYxBTwbM__339_401,4.5,0.8135,0.2806,0.5329,0.8042,0.2997,0.5046,0.8682061844836801,0.01,True,35.77,31.27,"मग एवढं ओवररिॲक्ट(overreact) कोण करतं का? तू माझ्या शेजारी येऊन स्वतःहून बसला असता, तर मी मोबाईल(mobile) फेकून दिला असता का?",https://youtu.be/2iMXYxBTwbM?t=374,https://youtu.be/2iMXYxBTwbM?t=370,diagnostics/2iMXYxBTwbM__339_401.svg,,,,
2,flagged,7c9ePKgqams__299_869,4.0,0.5905,0.1566,0.4339,0.3209,0.1213,0.1996,0.6111081957810822,0.11,True,439.13,435.13,పార్టీ(party) టిఆర్ఎస్(TRS) పార్టీ(party) తో డీకొన్నట్టు ఉంది. కాంగ్రెస్(congress) పార్టీ(party) తెలుగు దేశం పార్టీ(party) సిపిఐ(CPI) ఇవన్నీ కలిసినందు,https://youtu.be/7c9ePKgqams?t=738,https://youtu.be/7c9ePKgqams?t=734,diagnostics/7c9ePKgqams__299_869.svg,,,,
3,flagged,6f6TLzlP8Wk__82_144,2.0,0.6094,0.2484,0.361,0.583,0.2444,0.3386,0.7192789649549773,0.04,True,42.53,40.53,ਵੀਰ ਜੀ ਬਹੁਤ ਦੁੱਧ ਦੇ ਕਿੱਤੇ ਦੇ ਵਿੱਚੋਂ ਵੀ ਹੋ ਰਿਹਾ ਜੀ ਅਤੇ ਦੁੱਧ ਦੇ ਨਾਲੋਂ ਜਾਨਵਰ ਸਾਂਭਣ ਦੇ ਅਤੇ ਸੇਲ(Sale) ਕਰਨ ਦੇ ਵਿੱਚ ਵੀ ਜ਼ਿਆਦਾ।,https://youtu.be/6f6TLzlP8Wk?t=124,https://youtu.be/6f6TLzlP8Wk?t=122,diagnostics/6f6TLzlP8Wk__82_144.svg,,,,
4,flagged,Jc5AVwg2cZM__153_214,1.5,0.6759,0.3699,0.306,0.7558,0.3574,0.3984,0.8075685399748788,0.12,True,35.41,33.91,असा पाय टाकायचा आडवा आडवा आडवा पाय टाकायचा.,https://youtu.be/Jc5AVwg2cZM?t=188,https://youtu.be/Jc5AVwg2cZM?t=186,diagnostics/Jc5AVwg2cZM__153_214.svg,,,,
5,flagged,37dND_0r6S8__60_222,3.5,0.5092,0.2323,0.2769,0.4219,0.2008,0.2211,0.6273388601265054,1.3,True,105.67,102.17,சோ (so) கண்டிப்பா அந்த மாதிரி நிறைய இன்ட்ரஸ்டிங்கான (interesting)-ங்கான கார்ஸ் (cars) வந்து இன்னைக்கு சர்க்கிட்ஸ் (circuits) நைன்டி (ninety) நைன்ல (ni,https://youtu.be/37dND_0r6S8?t=165,https://youtu.be/37dND_0r6S8?t=162,diagnostics/37dND_0r6S8__60_222.svg,,,,
6,flagged,6ZeRgvDHwcI__6_100,3.0,0.569,0.2926,0.2764,0.6588,0.358,0.3008,0.48431191746500024,0.03,True,16.99,13.99,કેટલી વાર ના પાડી છે મેં હં? મને આ તારા ધતીંગ ગમતા નથી. આજ પછી ક્યારેય મને પગે ના લાગતી તું.,https://youtu.be/6ZeRgvDHwcI?t=22,https://youtu.be/6ZeRgvDHwcI?t=19,diagnostics/6ZeRgvDHwcI__6_100.svg,,,,
7,flagged,PRAzUz0GANs__223_283,4.5,0.5209,0.2489,0.2719,0.4042,0.2196,0.1846,0.7896663685332121,2.23,True,9.67,5.17,ನಿಮಗೆ ಬಂದಿರೋ ಅಂತ ರಿವ್ಯೂ(review)-ನಲ್ಲಿ ದಿ ಬೆಸ್ಟ್(best) ರಿವ್ಯೂ(review) ನಿಮ್ಮ ನನಗೆ ತುಂಬಾ ಖುಷಿಯಾಗಿದ್ದು ಅಂತಂದ್ರೆ ಯಾವುದು ಯಾರ್ದು ಯಾರ ಕಡೆಯಿಂದ ಸಿಕ್ಕಿದ್ದು?,https://youtu.be/PRAzUz0GANs?t=232,https://youtu.be/PRAzUz0GANs?t=228,diagnostics/PRAzUz0GANs__223_283.svg,,,,
8,flagged,OXUt5KnlUMo__91_181,3.0,0.3973,0.1355,0.2617,0.2678,0.1038,0.164,0.6100957364249529,5.48,True,64.35,61.35,ଆମର ଇନହାଉସ୍(inhouse) ଅପ୍ଟୋମେଟ୍ରିଷ୍ଟ(optometrist) ଅଛି ସବୁବେଳ ପାଇଁ ଅପ୍ଟୋମେଟ୍ରିଷ୍ଟ(optometrist) ଅଛି ସେ ଆପଣଙ୍କୁ ଗାଇଡ୍(guide) କରିପାରିବେ କି ଆପଣଙ୍କର ଆଇଜ୍(eye,https://youtu.be/OXUt5KnlUMo?t=155,https://youtu.be/OXUt5KnlUMo?t=152,diagnostics/OXUt5KnlUMo__91_181.svg,,,,
9,flagged,7YfsQPYY-W0__351_411,4.5,0.6424,0.3859,0.2565,0.5662,0.3438,0.2225,0.8459186858668921,0.23,True,21.69,17.19,ଡାଟା(Data) ଟ୍ରାନ୍ସଫର୍(Transfer) ଆପଣ କିଛି ଟେନସନ୍(Tension) ନିଅନ୍ତୁ ନାହିଁ ଆପଣ ଓଲ୍ଡ(Old) ଫୋନ୍‌ରୁ(Phone)-ରୁ ନ୍ୟୁ(New) ଫୋନ୍‌କୁ(Phone)-କୁ ଡାଟା(Data) ଟ୍ରାନ୍ସଫ,https://youtu.be/7YfsQPYY-W0?t=372,https://youtu.be/7YfsQPYY-W0?t=368,diagnostics/7YfsQPYY-W0__351_411.svg,,,,
10,flagged,LBIWBxQ5H1s__90_1020,3.0,0.4058,0.1507,0.2551,0.3463,0.1227,0.2236,0.6692484357468594,0.04,True,756.57,753.57,"തിരിച്ച് വരും എന്നൊക്കെ പറയുമ്പോ ഞാൻ ഇങ്ങനെ ഇങ്ങനെ ആയിപ്പോകും, ചിരിച്ചുപോകും. പിന്നെ അങ്ങനെ, പിന്നെ ഞാൻ വേറെ പുള്ളി ഡയലോഗ് (dialogue) പറയുന്ന സമയത്ത് ",https://youtu.be/LBIWBxQ5H1s?t=846,https://youtu.be/LBIWBxQ5H1s?t=843,diagnostics/LBIWBxQ5H1s__90_1020.svg,,,,
